medicine_id,generic_name,brand_example,category,dosage_form,strength,unit,pack_size,shelf_life_months,unit_cost_npr,requires_cold_chain,is_essential,base_demand_per_100_beds,abc_class
MED-019,Salbutamol,Asthalin Resp,Respiratory,Nebulizer_Solution,5mg/ml,ampoule,10,24,30.0,0,1,5.0,B
MED-020,Amoxicillin (Pediatric),Mox Dry Syrup,Pediatric,Dry_Syrup,125mg/5ml,bottle,1,24,55.0,0,1,7.0,A
MED-021,Amlodipine,Amlovas,Antihypertensive,Tablet,5mg,tablet,100,36,1.0,0,1,20.0,C
MED-022,Losartan,Repace,Antihypertensive,Tablet,50mg,tablet,100,36,2.5,0,1,16.0,B
MED-023,Metformin,Glycomet,Antidiabetic,Tablet,500mg,tablet,100,36,1.5,0,1,22.0,B
MED-024,Insulin Human Regular,Actrapid,Antidiabetic,Injection,100IU/ml,vial,1,24,450.0,1,1,3.0,A
MED-025,Atorvastatin,Atorva,Cardiovascular,Tablet,10mg,tablet,100,36,3.0,0,1,12.0,B
MED-026,Aspirin,Disprin,Cardiovascular,Tablet,75mg,tablet,100,36,0.8,0,1,18.0,C
MED-027,Omeprazole,Omez,Gastrointestinal,Capsule,20mg,capsule,100,36,2.0,0,1,20.0,B
MED-028,Ondansetron,Emeset,Gastrointestinal,Tablet,4mg,tablet,10,36,6.0,0,1,8.0,B
MED-029,Loperamide,Imodium,Antidiarrheal,Tablet,2mg,tablet,100,36,1.5,0,1,6.0,C
MED-030,Povidone Iodine,Betadine,Antiseptic,Solution,10%,bottle_100ml,1,36,85.0,0,1,5.0,A
MED-031,Surgical Gloves (sterile),MediGlove,Surgical_Consumable,Pair,Size 7,pair,50,60,25.0,0,1,30.0,A
MED-032,Disposable Syringe,Dispovan,Surgical_Consumable,Syringe,5ml,piece,100,60,5.0,0,1,40.0,A
MED-033,IV Cannula,Vasofix,Surgical_Consumable,Cannula,20G,piece,50,60,35.0,0,1,15.0,A
MED-034,Tetanus Toxoid,TT Vaccine,Vaccine,Injection,0.5ml,vial,10,24,25.0,1,1,2.5,B
MED-035,Anti-Rabies Vaccine,Abhayrab,Vaccine,Injection,0.5ml,vial,1,24,350.0,1,1,1.2,A
MED-036,Iron + Folic Acid,IFA,Maternity_OBGYN,Tablet,60mg/400mcg,tablet,100,24,0.5,0,1,28.0,C
MED-037,Albendazole,Zentel,Anthelmintic,Tablet,400mg,tablet,1,36,8.0,0,1,4.0,B
MED-038,Dexamethasone,Dexona,Respiratory,Injection,4mg/ml,ampoule,10,24,12.0,0,1,4.5,B
MED-039,Pheniramine,Avil,Respiratory,Injection,22.75mg/ml,ampoule,10,36,10.0,0,1,3.5,B
MED-040,Tramadol,Tramazac,Analgesic,Injection,50mg/ml,ampoule,10,36,28.0,0,0,3.0,B
MED-041,Cyclophosphamide,Endoxan,Oncology,Injection,500mg,vial,1,24,180.0,0,1,2.0,A
MED-042,Doxorubicin,Adriamycin,Oncology,Injection,50mg,vial,1,24,1200.0,1,1,1.2,A
MED-043,Paclitaxel,Taxol,Oncology,Injection,100mg,vial,1,24,3500.0,0,1,0.8,A
MED-044,Cisplatin,Platin,Oncology,Injection,50mg,vial,1,24,450.0,0,1,1.0,A
MED-045,Morphine Sulfate,Morphine,Oncology,Tablet,10mg,tablet,20,24,15.0,0,1,4.0,B
MED-046,Filgrastim (G-CSF),Neupogen,Oncology,Injection,300mcg,prefilled,1,18,4500.0,1,1,0.6,A
MED-047,ORS Pediatric,Jeevan Jal Junior,Pediatric,Sachet,10.2g,sachet,50,36,6.0,0,1,18.0,B
MED-048,Amoxicillin Pediatric Drops,Mox Drops,Pediatric,Drops,100mg/ml,bottle,1,24,65.0,0,1,6.0,A
MED-049,Vitamin A Capsule,Retinol,Pediatric,Capsule,200000 IU,capsule,100,24,2.0,0,1,8.0,C
MED-050,Pentavalent Vaccine,DPT-HepB-Hib,Vaccine,Injection,0.5ml,vial,10,24,120.0,1,1,3.5,A
MED-051,Measles-Rubella Vaccine,MR Vaccine,Vaccine,Injection,0.5ml,vial,10,24,80.0,1,1,3.0,A
MED-052,Oral Rehydration + Zinc Kit,ORS-Zinc Kit,Pediatric,Kit,combo,kit,1,24,25.0,0,1,10.0,A
MED-053,Oxytocin,Pitocin,Maternity_OBGYN,Injection,10 IU/ml,ampoule,10,24,35.0,1,1,8.0,A
MED-054,Misoprostol,Cytotec,Maternity_OBGYN,Tablet,200mcg,tablet,4,24,20.0,0,1,5.0,B
MED-055,Magnesium Sulfate,MgSO4,Maternity_OBGYN,Injection,50%,ampoule,10,36,18.0,0,1,3.0,B
MED-056,Tranexamic Acid,TXA,Maternity_OBGYN,Injection,500mg,ampoule,5,36,45.0,0,1,2.5,B
MED-057,Ciprofloxacin Eye Drops,Ciplox Eye,Ophthalmic,Drops,0.3%,bottle,1,24,55.0,0,1,6.0,A
MED-058,Timolol Eye Drops,Glucomol,Ophthalmic,Drops,0.5%,bottle,1,24,90.0,0,1,4.0,A
MED-059,Tropicamide Eye Drops,Tropicacyl,Ophthalmic,Drops,1%,bottle,1,24,70.0,0,1,3.5,A
MED-060,Anti-Snake Venom (ASVS),ASV,Trauma_Emergency,Injection,10ml,vial,1,24,2500.0,1,1,0.8,A
MED-061,Adrenaline,Epinephrine,Trauma_Emergency,Injection,1mg/ml,ampoule,10,24,25.0,0,1,2.0,B
MED-062,Atropine,Atropine SO4,Trauma_Emergency,Injection,0.6mg/ml,ampoule,10,36,12.0,0,1,1.5,C
MED-063,Tetanus Immunoglobulin,TIG,Trauma_Emergency,Injection,250 IU,vial,1,24,850.0,1,1,1.0,A
MED-064,Plaster of Paris Bandage,POP,Trauma_Emergency,Bandage,15cm,roll,12,60,80.0,0,1,8.0,A
MED-065,Whole Blood Unit (proxy stock),Blood Bank Unit,Blood_Product,Unit,350ml,unit,1,1,0.0,1,1,2.0,C
MED-066,Packed RBC (proxy),PRBC,Blood_Product,Unit,250ml,unit,1,1,0.0,1,1,1.5,C
MED-067,Lignocaine 2%,Xylocaine,Anesthetic,Injection,2%,vial,1,36,40.0,0,1,5.0,A
MED-068,Ketamine,Ketalar,Anesthetic,Injection,50mg/ml,vial,1,36,180.0,0,1,1.5,A
MED-069,Spinal Bupivacaine,Sensorcaine,Anesthetic,Injection,0.5%,ampoule,5,36,95.0,0,1,2.0,A
MED-070,Ready-to-Use Therapeutic Food,RUTF,Nutritional,Sachet,92g,sachet,150,24,120.0,0,1,4.0,A
MED-071,Fentanyl,Fent,Analgesic,Injection,50mcg/ml,ampoule,10,24,150.0,0,0,1.2,A
MED-072,Meropenem,Meronem,Antibiotic,Injection,1g,vial,1,24,650.0,0,1,2.5,A
