exchange_id,request_date,from_hospital_id,to_hospital_id,medicine_id,quantity_units,priority,status,distance_km,estimated_lead_days,same_province,reason,involves_demo
EX-00021,2026-03-24,DEMO-08,DEMO-01,MED-033,42,High,Rejected,352.2,5,0,Surgical camp,1
EX-00022,2026-05-22,HOSP-SP-003,HOSP-LB-002,MED-009,11,Emergency,Completed,171.6,3,0,Pediatric surge,0
EX-00023,2026-05-19,DEMO-08,HOSP-GD-002,MED-004,17,High,Completed,176.8,4,0,Low stock,1
EX-00024,2026-05-24,DEMO-08,DEMO-05,MED-052,49,Emergency,Completed,353.6,4,0,Low stock,1
EX-00025,2026-03-31,HOSP-BG-012,HOSP-MD-003,MED-060,128,Emergency,Completed,104.4,2,0,Pediatric surge,0
EX-00026,2026-03-24,DEMO-08,HOSP-BG-018,MED-004,17,Emergency,Requested,355.3,6,0,Near-expiry redistribution,1
EX-00027,2026-01-13,DEMO-07,HOSP-LB-004,MED-007,247,Normal,Completed,110.0,1,0,Chemo cycle demand,1
EX-00028,2026-03-11,DEMO-08,DEMO-05,MED-016,55,Normal,Completed,353.6,5,0,Pediatric surge,1
EX-00029,2026-03-28,DEMO-08,DEMO-06,MED-043,42,Normal,Completed,590.4,8,0,Emergency case load,1
EX-00030,2026-04-11,DEMO-08,DEMO-04,MED-055,5,High,Completed,351.9,4,0,Routine balancing,1
EX-00031,2026-04-18,DEMO-02,HOSP-KP-004,MED-039,61,Normal,Completed,124.8,2,0,Outbreak response,1
EX-00032,2026-01-08,HOSP-BG-015,HOSP-KR-001,MED-017,63,High,Completed,400.2,7,0,Near-expiry redistribution,0
EX-00034,2026-05-27,DEMO-08,DEMO-07,MED-012,33,Normal,Completed,211.9,3,0,Chemo cycle demand,1
EX-00035,2026-01-07,HOSP-SP-003,HOSP-LB-002,MED-066,5,Normal,Rejected,171.6,3,0,Near-expiry redistribution,0
EX-00036,2026-01-13,DEMO-08,DEMO-06,MED-053,32,Emergency,Requested,590.4,9,0,Low stock,1
EX-00037,2026-01-28,DEMO-02,HOSP-BG-017,MED-052,246,Emergency,Completed,38.3,2,1,Emergency case load,1
EX-00038,2026-04-21,DEMO-02,DEMO-03,MED-064,18,High,Approved,11.9,1,1,Routine balancing,1
EX-00039,2026-01-29,DEMO-02,DEMO-04,MED-025,144,Normal,Requested,0.3,1,1,Routine balancing,1
EX-00040,2026-04-23,HOSP-GD-004,HOSP-LB-001,MED-002,5,High,In_Transit,122.9,3,0,Emergency case load,0
EX-00041,2026-01-07,DEMO-03,DEMO-04,MED-060,5,Normal,Completed,11.9,1,1,Chemo cycle demand,1
EX-00042,2026-04-21,HOSP-SP-004,HOSP-LB-002,MED-013,29,Normal,Requested,171.9,2,0,Routine balancing,0
EX-00043,2026-04-16,DEMO-04,HOSP-LB-003,MED-007,108,High,Completed,281.8,4,0,Near-expiry redistribution,1
EX-00044,2026-06-21,DEMO-08,HOSP-BG-012,MED-007,20,High,Completed,352.9,6,0,Pediatric surge,1
EX-00045,2026-06-11,DEMO-08,HOSP-MD-002,MED-007,23,Normal,Completed,364.8,6,0,Outbreak response,1
EX-00046,2026-02-14,DEMO-08,DEMO-07,MED-037,5,Emergency,Completed,211.9,3,0,Postpartum hemorrhage kit,1
EX-00048,2026-01-22,DEMO-08,DEMO-04,MED-050,12,High,Completed,351.9,5,0,Chemo cycle demand,1
EX-00049,2026-06-19,DEMO-08,DEMO-03,MED-066,5,Normal,Completed,363.7,5,0,Monsoon surge,1
EX-00050,2026-06-02,DEMO-07,HOSP-SP-001,MED-010,105,Emergency,Requested,333.2,4,0,Surgical camp,1
EX-00051,2026-02-20,DEMO-08,DEMO-06,MED-058,5,Normal,Completed,590.4,9,0,Monsoon surge,1
EX-00052,2026-06-13,HOSP-BG-019,HOSP-LB-005,MED-014,11,High,Completed,175.9,4,0,Pediatric surge,0
EX-00053,2026-05-10,DEMO-05,HOSP-BG-012,MED-012,96,High,In_Transit,1.3,1,1,Pediatric surge,1
EX-00054,2026-01-04,HOSP-KR-004,DEMO-06,MED-007,12,Normal,In_Transit,533.4,6,0,Outbreak response,1
EX-00055,2025-12-26,DEMO-02,DEMO-06,MED-037,34,Normal,Completed,239.4,2,0,Emergency case load,1
EX-00057,2026-02-24,DEMO-08,DEMO-06,MED-063,5,High,Completed,590.4,9,0,Chemo cycle demand,1
EX-00058,2026-06-26,DEMO-02,DEMO-07,MED-067,213,High,Completed,142.1,2,0,Emergency case load,1
EX-00059,2026-06-13,HOSP-GD-004,HOSP-SP-001,MED-035,5,High,In_Transit,353.6,6,0,Routine balancing,0
EX-00060,2026-06-15,DEMO-08,DEMO-06,MED-044,5,Normal,Completed,590.4,9,0,Routine balancing,1
EX-00061,2026-05-11,HOSP-BG-018,HOSP-MD-004,MED-016,5,Normal,Completed,84.2,2,0,Postpartum hemorrhage kit,0
EX-00062,2026-03-14,HOSP-GD-002,HOSP-GD-003,MED-058,5,High,Completed,106.6,2,1,Near-expiry redistribution,0
EX-00063,2026-02-12,DEMO-04,HOSP-BG-011,MED-030,116,Normal,Completed,3.9,2,1,Near-expiry redistribution,1
EX-00065,2026-01-02,DEMO-08,DEMO-06,MED-044,42,Normal,Completed,590.4,7,0,Monsoon surge,1
EX-00066,2026-06-21,HOSP-LB-005,HOSP-SP-001,MED-049,69,Normal,In_Transit,300.5,3,0,Outbreak response,0
EX-00067,2026-04-26,DEMO-01,DEMO-06,MED-040,172,Normal,In_Transit,238.7,4,0,Chemo cycle demand,1
EX-00068,2026-02-16,DEMO-07,HOSP-LB-002,MED-038,16,Normal,Completed,233.0,3,0,Surgical camp,1
EX-00069,2026-06-03,DEMO-02,DEMO-06,MED-067,98,Normal,In_Transit,239.4,4,0,Pediatric surge,1
EX-00070,2026-06-09,DEMO-08,DEMO-05,MED-003,56,Normal,Requested,353.6,4,0,Routine balancing,1
EX-00071,2026-05-25,HOSP-GD-002,HOSP-BG-016,MED-037,30,Normal,Completed,169.9,4,0,Emergency case load,0
EX-00072,2026-04-03,HOSP-BG-011,HOSP-GD-003,MED-060,5,Normal,Completed,77.6,1,0,Near-expiry redistribution,0
EX-00073,2026-02-08,DEMO-08,DEMO-06,MED-022,42,Normal,Completed,590.4,7,0,Surgical camp,1
EX-00074,2026-05-02,HOSP-KR-004,HOSP-MD-003,MED-043,5,Normal,In_Transit,347.2,6,0,Surgical camp,0
EX-00075,2026-02-04,HOSP-LB-005,HOSP-BG-017,MED-072,73,High,In_Transit,213.6,2,0,Monsoon surge,0
EX-00076,2026-03-30,DEMO-03,DEMO-01,MED-025,17,Normal,Completed,11.8,1,1,Surgical camp,1
EX-00077,2026-06-11,DEMO-03,DEMO-06,MED-055,6,Normal,Approved,227.5,4,0,Pediatric surge,1
EX-00078,2026-02-08,HOSP-SP-003,HOSP-KR-001,MED-047,19,High,Completed,113.1,1,0,Chemo cycle demand,0
EX-00079,2026-01-30,HOSP-SP-003,HOSP-LB-002,MED-009,11,Normal,Completed,171.6,3,0,Low stock,0
EX-00080,2026-04-02,HOSP-KR-004,HOSP-SP-002,MED-037,5,Normal,Requested,224.4,3,0,Surgical camp,0
EX-00081,2026-02-13,HOSP-BG-018,HOSP-SP-003,MED-056,9,Normal,Completed,453.8,7,0,Outbreak response,0
EX-00082,2026-01-03,HOSP-SP-004,HOSP-BG-013,MED-045,5,Emergency,Completed,497.7,6,0,Outbreak response,0
EX-00083,2026-06-23,DEMO-08,DEMO-01,MED-070,47,Emergency,Completed,352.2,6,0,Pediatric surge,1
EX-00084,2025-12-23,HOSP-GD-004,HOSP-KR-003,MED-026,5,Normal,Completed,137.9,3,0,Chemo cycle demand,0
EX-00085,2026-01-02,DEMO-04,HOSP-SP-003,MED-007,64,Normal,Completed,450.7,6,0,Chemo cycle demand,1
EX-00086,2026-01-15,DEMO-06,HOSP-LB-005,MED-048,187,Emergency,Completed,400.7,6,0,Routine balancing,1
EX-00087,2026-06-03,DEMO-08,HOSP-BG-011,MED-003,56,Normal,Completed,355.1,6,0,Outbreak response,1
EX-00088,2026-01-21,DEMO-08,DEMO-04,MED-014,33,Normal,Completed,351.9,6,0,Surgical camp,1
EX-00089,2026-03-16,HOSP-GD-005,HOSP-GD-002,MED-067,70,Normal,Completed,39.3,1,1,Postpartum hemorrhage kit,0
EX-00090,2026-02-03,DEMO-08,HOSP-KP-004,MED-035,5,Normal,Completed,475.7,6,0,Routine balancing,1
EX-00092,2026-05-24,HOSP-BG-013,HOSP-KP-003,MED-002,122,Emergency,Completed,301.5,5,0,Outbreak response,0
EX-00093,2026-04-10,DEMO-02,DEMO-07,MED-043,34,Emergency,Completed,142.1,1,0,Chemo cycle demand,1
EX-00094,2026-05-19,HOSP-GD-002,HOSP-BG-012,MED-038,29,Emergency,Completed,181.2,2,0,Emergency case load,0
EX-00095,2026-05-17,HOSP-BG-017,HOSP-LB-003,MED-070,10,Normal,Completed,318.8,3,0,Routine balancing,0
EX-00096,2026-02-05,DEMO-04,DEMO-06,MED-018,175,Normal,Completed,239.3,3,0,Monsoon surge,1
EX-00097,2026-05-22,HOSP-MD-001,HOSP-GD-005,MED-003,65,Normal,In_Transit,254.3,4,0,Monsoon surge,0
EX-00098,2026-06-03,DEMO-02,HOSP-BG-019,MED-039,130,Emergency,Approved,1.6,2,1,Monsoon surge,1
EX-00099,2025-12-30,DEMO-01,DEMO-07,MED-029,57,Emergency,Completed,142.0,1,0,Pediatric surge,1
EX-00100,2026-03-28,HOSP-GD-005,DEMO-01,MED-067,62,Normal,Completed,143.0,2,0,Monsoon surge,1
EX-00101,2026-01-27,DEMO-08,HOSP-KR-001,MED-066,5,Normal,Completed,93.1,1,1,Near-expiry redistribution,1
EX-00102,2026-01-05,DEMO-07,HOSP-MD-004,MED-017,99,Normal,Completed,158.9,3,0,Surgical camp,1
EX-00103,2026-03-16,HOSP-BG-016,HOSP-KP-004,MED-063,147,Normal,Completed,145.9,1,0,Monsoon surge,0
EX-00104,2026-03-06,HOSP-SP-003,HOSP-BG-011,MED-055,5,High,Completed,453.8,7,0,Outbreak response,0
EX-00105,2026-04-01,DEMO-05,HOSP-LB-004,MED-019,223,Normal,Completed,245.0,5,0,Emergency case load,1
EX-00106,2026-04-17,DEMO-08,DEMO-03,MED-014,6,Emergency,Completed,363.7,6,0,Routine balancing,1
EX-00107,2025-12-23,HOSP-BG-017,HOSP-BG-011,MED-034,26,Normal,Approved,37.1,2,1,Pediatric surge,0
EX-00108,2026-04-06,DEMO-03,HOSP-LB-003,MED-052,21,Emergency,Completed,292.2,3,0,Chemo cycle demand,1
EX-00109,2026-01-13,DEMO-01,DEMO-07,MED-005,225,High,Rejected,142.0,2,0,Pediatric surge,1
EX-00110,2025-12-23,HOSP-GD-002,HOSP-KR-001,MED-028,63,Normal,Approved,196.5,3,0,Surgical camp,0
EX-00111,2026-06-20,DEMO-07,DEMO-01,MED-017,99,High,Completed,142.0,1,0,Near-expiry redistribution,1
EX-00112,2026-06-29,HOSP-BG-019,HOSP-LB-005,MED-066,31,Normal,Completed,175.9,3,0,Postpartum hemorrhage kit,0
EX-00113,2026-04-13,DEMO-08,HOSP-BG-019,MED-055,5,Emergency,Completed,351.1,5,0,Monsoon surge,1
EX-00114,2026-06-10,HOSP-GD-004,HOSP-GD-005,MED-035,5,High,Completed,42.9,1,1,Low stock,0
EX-00115,2025-12-14,DEMO-08,HOSP-SP-002,MED-041,5,Normal,Completed,197.5,4,0,Near-expiry redistribution,1
EX-00116,2026-06-29,HOSP-SP-002,HOSP-KP-001,MED-014,17,High,Requested,738.4,11,0,Monsoon surge,0
EX-00117,2026-01-03,DEMO-08,HOSP-BG-017,MED-061,5,Normal,Completed,383.1,6,0,Surgical camp,1
EX-00118,2025-12-17,DEMO-01,HOSP-LB-001,MED-053,88,High,In_Transit,183.7,2,0,Chemo cycle demand,1
EX-00119,2026-02-04,DEMO-08,HOSP-KR-001,MED-041,5,High,Approved,93.1,3,1,Outbreak response,1
EX-00120,2026-05-23,DEMO-02,DEMO-01,MED-043,34,Emergency,Completed,3.8,1,1,Routine balancing,1
EX-00121,2025-12-23,DEMO-06,HOSP-BG-015,MED-045,54,High,Approved,214.9,2,0,Postpartum hemorrhage kit,1
EX-00122,2026-03-09,HOSP-GD-002,HOSP-BG-010,MED-026,106,Normal,In_Transit,106.1,3,0,Surgical camp,0
EX-00124,2026-02-23,HOSP-SP-004,HOSP-MD-004,MED-013,12,Emergency,Completed,491.8,6,0,Emergency case load,0
EX-00125,2026-06-26,DEMO-05,DEMO-08,MED-043,7,Emergency,Completed,353.6,6,0,Emergency case load,1
EX-00126,2026-02-08,DEMO-02,DEMO-05,MED-050,70,Normal,Approved,5.2,1,1,Low stock,1
EX-00127,2026-04-19,DEMO-08,DEMO-05,MED-001,18,High,Completed,353.6,6,0,Monsoon surge,1
EX-00128,2025-12-29,HOSP-GD-004,DEMO-05,MED-056,5,High,In_Transit,143.1,2,0,Low stock,1
EX-00129,2026-03-18,DEMO-03,DEMO-07,MED-025,62,Emergency,Completed,153.7,2,0,Chemo cycle demand,1
EX-00130,2026-01-18,HOSP-KR-001,HOSP-KP-003,MED-038,54,Normal,In_Transit,678.1,10,0,Emergency case load,0
EX-00131,2026-05-07,HOSP-SP-003,HOSP-KP-003,MED-027,19,Emergency,Completed,754.4,10,0,Monsoon surge,0
EX-00132,2026-02-12,HOSP-BG-013,HOSP-GD-005,MED-036,180,High,Completed,145.5,3,0,Emergency case load,0
EX-00133,2026-03-11,HOSP-SP-003,HOSP-LB-003,MED-029,18,Emergency,Completed,209.5,4,0,Near-expiry redistribution,0
EX-00134,2026-03-02,DEMO-01,DEMO-07,MED-043,31,High,Completed,142.0,2,0,Postpartum hemorrhage kit,1
EX-00135,2026-01-24,HOSP-BG-011,HOSP-SP-003,MED-043,5,Normal,Completed,453.8,5,0,Surgical camp,0
EX-00136,2026-01-24,DEMO-08,DEMO-05,MED-012,33,Normal,Requested,353.6,4,0,Surgical camp,1
EX-00137,2026-06-07,DEMO-03,DEMO-04,MED-006,23,Normal,Completed,11.9,1,1,Pediatric surge,1
EX-00138,2026-03-19,DEMO-08,DEMO-06,MED-033,45,Normal,Requested,590.4,7,0,Postpartum hemorrhage kit,1
EX-00139,2026-02-23,HOSP-BG-012,HOSP-LB-003,MED-034,39,Normal,Completed,281.2,3,0,Low stock,0
EX-00140,2026-05-27,DEMO-02,HOSP-BG-011,MED-051,233,Normal,Completed,3.9,2,1,Monsoon surge,1
EX-00141,2026-05-20,DEMO-07,DEMO-06,MED-017,99,High,Completed,378.9,6,0,Emergency case load,1
EX-00142,2025-12-13,DEMO-06,HOSP-BG-018,MED-058,67,Normal,Completed,235.4,4,0,Surgical camp,1
EX-00143,2026-06-25,DEMO-05,DEMO-01,MED-006,51,Normal,Completed,1.8,1,1,Monsoon surge,1
EX-00144,2026-02-21,DEMO-07,DEMO-03,MED-017,66,Normal,Completed,153.7,1,0,Low stock,1
EX-00145,2026-06-20,DEMO-02,HOSP-BG-019,MED-045,18,High,In_Transit,1.6,1,1,Pediatric surge,1
EX-00146,2026-02-04,DEMO-08,DEMO-04,MED-065,5,Emergency,Completed,351.9,5,0,Monsoon surge,1
EX-00147,2026-01-23,HOSP-BG-019,HOSP-LB-002,MED-066,31,High,Rejected,366.5,6,0,Outbreak response,0
EX-00148,2026-04-07,DEMO-01,HOSP-BG-016,MED-010,87,Normal,Requested,41.5,2,1,Postpartum hemorrhage kit,1
EX-00149,2026-02-18,DEMO-08,DEMO-05,MED-044,5,Emergency,Completed,353.6,4,0,Pediatric surge,1
EX-00150,2026-01-03,DEMO-02,DEMO-01,MED-021,139,High,Approved,3.8,1,1,Outbreak response,1
EX-00151,2026-03-21,DEMO-02,DEMO-01,MED-019,199,Normal,Completed,3.8,2,1,Chemo cycle demand,1
EX-00152,2026-02-24,DEMO-05,DEMO-06,MED-040,154,Normal,Approved,237.2,2,0,Routine balancing,1
EX-00153,2026-04-14,DEMO-01,DEMO-04,MED-040,137,Normal,Completed,4.0,1,1,Surgical camp,1
EX-00154,2026-03-18,HOSP-KR-004,HOSP-BG-018,MED-043,5,High,Completed,301.5,4,0,Outbreak response,0
EX-00155,2026-01-03,HOSP-GD-002,HOSP-SP-004,MED-054,24,High,Completed,314.9,4,0,Postpartum hemorrhage kit,0
EX-00156,2026-06-26,HOSP-KR-004,HOSP-KP-003,MED-007,12,Normal,Rejected,602.6,7,0,Outbreak response,0
EX-00157,2025-12-22,DEMO-07,HOSP-SP-003,MED-070,185,High,Completed,309.5,3,0,Routine balancing,1
EX-00158,2025-12-27,HOSP-BG-018,HOSP-GD-002,MED-066,5,Normal,Completed,183.1,3,0,Pediatric surge,0
EX-00159,2026-03-17,DEMO-04,DEMO-08,MED-007,205,High,Completed,351.9,4,0,Outbreak response,1
EX-00160,2026-04-15,DEMO-08,HOSP-KR-004,MED-012,55,High,Completed,76.2,2,1,Low stock,1
EX-00161,2026-03-28,DEMO-03,DEMO-06,MED-010,167,Normal,Completed,227.5,4,0,Monsoon surge,1
EX-00162,2026-01-12,DEMO-02,HOSP-MD-003,MED-014,29,Normal,Completed,108.2,1,0,Monsoon surge,1
EX-00163,2026-01-21,DEMO-08,DEMO-04,MED-066,5,Normal,Completed,351.9,6,0,Pediatric surge,1
EX-00164,2026-01-30,HOSP-KP-004,HOSP-BG-010,MED-061,5,Emergency,Approved,208.3,2,0,Near-expiry redistribution,0
EX-00165,2026-02-24,HOSP-KR-003,HOSP-LB-004,MED-060,5,Normal,Approved,94.6,2,0,Near-expiry redistribution,0
EX-00166,2026-05-31,DEMO-08,HOSP-KP-003,MED-016,5,High,Completed,655.2,8,0,Monsoon surge,1
EX-00167,2026-04-21,DEMO-08,HOSP-BG-019,MED-055,5,Normal,In_Transit,351.1,4,0,Monsoon surge,1
EX-00168,2026-02-15,DEMO-08,HOSP-KP-001,MED-066,5,High,Completed,570.8,7,0,Low stock,1
EX-00169,2026-06-03,HOSP-GD-003,HOSP-BG-016,MED-015,5,Normal,Requested,74.8,1,0,Low stock,0
EX-00170,2026-05-30,DEMO-05,DEMO-06,MED-056,153,High,Completed,237.2,4,0,Low stock,1
EX-00171,2026-04-30,HOSP-KP-001,HOSP-LB-002,MED-014,36,Normal,Completed,576.2,9,0,Routine balancing,0
EX-00172,2026-06-04,HOSP-GD-003,HOSP-MD-004,MED-053,16,Normal,Completed,111.7,3,0,Low stock,0
EX-00173,2026-01-25,HOSP-KR-003,DEMO-06,MED-027,5,High,Requested,512.1,6,0,Routine balancing,1
EX-00174,2026-05-03,DEMO-05,DEMO-01,MED-006,73,Emergency,Completed,1.8,1,1,Chemo cycle demand,1
EX-00175,2026-05-08,DEMO-02,HOSP-KP-004,MED-058,121,Normal,Completed,124.8,1,0,Low stock,1
EX-00176,2026-02-26,HOSP-GD-003,DEMO-06,MED-040,5,Normal,Completed,312.5,4,0,Emergency case load,1
EX-00177,2025-12-30,HOSP-BG-016,HOSP-LB-003,MED-005,151,Normal,Completed,259.7,4,0,Near-expiry redistribution,0
EX-00178,2026-05-19,HOSP-GD-002,DEMO-06,MED-050,21,High,Completed,416.0,5,0,Chemo cycle demand,1
EX-00179,2025-12-19,DEMO-01,DEMO-04,MED-005,220,Normal,Completed,4.0,1,1,Chemo cycle demand,1
EX-00180,2026-06-28,HOSP-BG-011,HOSP-LB-003,MED-046,18,Normal,Completed,283.9,4,0,Pediatric surge,0
EX-00181,2025-12-22,HOSP-KR-004,HOSP-GD-004,MED-037,5,Normal,Approved,175.1,2,0,Near-expiry redistribution,0
EX-00182,2026-01-10,DEMO-08,DEMO-04,MED-002,14,Emergency,Completed,351.9,6,0,Postpartum hemorrhage kit,1
EX-00183,2026-03-09,DEMO-01,HOSP-KR-001,MED-054,26,Emergency,Completed,375.9,4,0,Emergency case load,1
EX-00184,2026-05-25,DEMO-02,HOSP-LB-003,MED-028,131,High,Rejected,281.6,5,0,Surgical camp,1
EX-00185,2026-02-24,HOSP-BG-016,HOSP-SP-001,MED-033,159,Normal,Rejected,454.8,6,0,Pediatric surge,0
EX-00186,2026-01-29,HOSP-SP-003,HOSP-LB-003,MED-062,5,Normal,Approved,209.5,4,0,Monsoon surge,0
EX-00187,2026-01-02,DEMO-02,DEMO-08,MED-059,87,High,Completed,351.8,4,0,Chemo cycle demand,1
EX-00188,2026-04-22,HOSP-GD-005,HOSP-BG-017,MED-067,26,Normal,Completed,177.1,4,0,Emergency case load,0
EX-00189,2025-12-29,HOSP-KP-004,DEMO-02,MED-040,27,Normal,Completed,124.8,1,0,Near-expiry redistribution,1
EX-00190,2026-04-27,HOSP-KR-003,HOSP-BG-011,MED-006,5,High,Completed,276.7,4,0,Postpartum hemorrhage kit,0
EX-00191,2026-03-13,HOSP-GD-003,HOSP-KP-003,MED-017,5,Normal,Approved,378.4,5,0,Low stock,0
EX-00192,2026-06-18,HOSP-GD-004,HOSP-LB-003,MED-012,5,Normal,Completed,181.2,2,0,Surgical camp,0
EX-00194,2025-12-21,HOSP-BG-016,HOSP-MD-001,MED-033,166,Emergency,Completed,117.7,1,0,Low stock,0
EX-00195,2026-04-28,HOSP-GD-004,HOSP-KP-001,MED-017,5,High,In_Transit,357.3,4,0,Near-expiry redistribution,0
EX-00196,2025-12-23,HOSP-KP-004,HOSP-MD-003,MED-065,9,Emergency,Completed,136.1,2,0,Postpartum hemorrhage kit,0
EX-00197,2026-03-15,HOSP-BG-011,HOSP-KR-003,MED-064,20,High,Completed,276.7,5,0,Near-expiry redistribution,0
EX-00198,2026-05-17,DEMO-02,DEMO-05,MED-055,136,Normal,Approved,5.2,2,1,Chemo cycle demand,1
EX-00199,2026-02-13,DEMO-01,DEMO-08,MED-042,26,High,Completed,352.2,6,0,Monsoon surge,1
EX-00200,2026-03-25,DEMO-02,DEMO-04,MED-067,53,Normal,Approved,0.3,2,1,Low stock,1
EX-00201,2026-02-06,DEMO-07,HOSP-GD-002,MED-062,117,High,Approved,39.3,1,1,Low stock,1
EX-00202,2026-03-13,DEMO-03,DEMO-05,MED-063,10,Normal,Completed,10.8,1,1,Chemo cycle demand,1
EX-00203,2026-03-23,HOSP-KR-003,HOSP-LB-002,MED-006,5,Normal,Completed,160.5,4,0,Emergency case load,0
EX-00204,2026-02-02,DEMO-03,DEMO-07,MED-027,43,Emergency,In_Transit,153.7,1,0,Low stock,1
EX-00205,2025-12-13,HOSP-SP-004,HOSP-BG-011,MED-028,21,High,Completed,498.5,8,0,Surgical camp,0
EX-00206,2026-01-05,DEMO-08,DEMO-02,MED-024,32,High,Completed,351.8,5,0,Routine balancing,1
EX-00207,2025-12-17,HOSP-KR-004,DEMO-02,MED-007,12,Normal,Completed,299.3,3,0,Monsoon surge,1
EX-00208,2026-03-16,DEMO-02,DEMO-03,MED-059,87,Normal,Completed,11.9,1,1,Postpartum hemorrhage kit,1
EX-00209,2026-05-11,DEMO-07,DEMO-05,MED-027,117,Emergency,Completed,143.2,1,0,Routine balancing,1
EX-00210,2026-06-01,HOSP-KP-004,DEMO-07,MED-069,5,High,Completed,267.0,4,0,Pediatric surge,1
EX-00212,2026-03-12,HOSP-BG-012,HOSP-LB-003,MED-045,24,Emergency,Completed,281.2,4,0,Routine balancing,0
EX-00213,2025-12-29,HOSP-SP-003,HOSP-KP-004,MED-042,5,Normal,In_Transit,574.9,8,0,Low stock,0
EX-00214,2026-01-11,DEMO-01,HOSP-KP-003,MED-048,27,Emergency,Requested,303.9,4,0,Emergency case load,1
EX-00215,2025-12-15,DEMO-08,DEMO-02,MED-069,5,Normal,Completed,351.8,6,0,Routine balancing,1
EX-00217,2026-02-01,DEMO-03,HOSP-BG-011,MED-027,50,High,Requested,8.6,1,1,Emergency case load,1
EX-00218,2026-04-26,DEMO-05,HOSP-BG-012,MED-004,124,Emergency,Approved,1.3,1,1,Routine balancing,1
EX-00219,2026-01-31,DEMO-05,HOSP-LB-003,MED-046,5,High,In_Transit,281.4,3,0,Pediatric surge,1
EX-00220,2025-12-29,DEMO-01,DEMO-08,MED-005,147,Emergency,Requested,352.2,6,0,Emergency case load,1
EX-00221,2026-06-24,HOSP-BG-015,HOSP-SP-004,MED-017,63,Normal,Completed,519.8,6,0,Pediatric surge,0
EX-00222,2026-01-10,DEMO-08,HOSP-LB-003,MED-033,45,Normal,Completed,140.3,1,0,Emergency case load,1
EX-00223,2026-06-23,DEMO-04,DEMO-08,MED-066,37,High,Completed,351.9,5,0,Surgical camp,1
EX-00224,2025-12-28,HOSP-BG-012,HOSP-MD-001,MED-015,226,Normal,Completed,123.7,2,0,Postpartum hemorrhage kit,0
EX-00225,2026-01-21,HOSP-GD-002,HOSP-GD-005,MED-026,45,High,Completed,39.3,2,1,Chemo cycle demand,0
EX-00226,2026-05-20,DEMO-08,DEMO-01,MED-016,22,Normal,Completed,352.2,4,0,Pediatric surge,1
EX-00228,2026-03-08,DEMO-03,HOSP-GD-002,MED-024,10,Normal,Completed,192.3,3,0,Postpartum hemorrhage kit,1
EX-00229,2026-03-28,DEMO-03,DEMO-02,MED-015,73,Normal,Completed,11.9,1,1,Low stock,1
EX-00230,2026-05-15,DEMO-02,DEMO-01,MED-045,104,Normal,Approved,3.8,1,1,Emergency case load,1
