snapshot_date,batch_id,hospital_id,medicine_id,quantity_units,unit,unit_cost_npr,received_date,expiry_date,days_to_expiry,reorder_level,avg_daily_use,days_of_cover,stock_status,supplier,storage_condition
2026-06-30,BATCH-000023,DEMO-01,MED-011,1131,sachet,8.0,2025-03-29,2027-03-30,273,2618,261.869,4.32,LOW_STOCK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000024,DEMO-01,MED-012,2717,tablet,1.2,2024-07-13,2027-01-17,201,1277,127.75,21.27,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000025,DEMO-01,MED-013,3587,bag,55.0,2026-02-24,2027-05-29,333,958,95.869,37.42,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000026,DEMO-01,MED-014,1713,bag,45.0,2026-04-25,2027-08-02,398,1396,139.607,12.27,OK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000027,DEMO-01,MED-014,4636,bag,45.0,2026-01-11,2026-12-24,177,1396,139.607,33.21,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000028,DEMO-01,MED-015,1497,bag,48.0,2026-05-24,2028-01-07,556,721,72.143,20.75,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000029,DEMO-01,MED-015,1069,bag,48.0,2026-04-08,2027-02-17,232,721,72.143,14.82,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000030,DEMO-01,MED-015,898,bag,48.0,2026-04-29,2027-03-23,266,721,72.143,12.45,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000031,DEMO-01,MED-016,180,tablet,15.0,2026-06-12,2027-08-01,397,205,20.56,8.76,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000032,DEMO-01,MED-016,68,tablet,15.0,2026-06-26,2027-09-27,454,205,20.56,3.31,LOW_STOCK,Nepal CMS,Ambient
2026-06-30,BATCH-000033,DEMO-01,MED-016,80,tablet,15.0,2026-05-28,2027-09-26,453,205,20.56,3.89,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000034,DEMO-01,MED-017,125,tablet,1.8,2026-06-19,2028-12-21,905,104,10.429,11.99,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000035,DEMO-01,MED-017,137,tablet,1.8,2026-05-26,2028-05-29,699,104,10.429,13.14,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000036,DEMO-01,MED-018,418,unit,180.0,2026-06-26,2028-03-18,627,282,28.298,14.77,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000037,DEMO-01,MED-019,1472,ampoule,30.0,2026-03-22,2028-03-02,611,443,44.357,33.19,OK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000038,DEMO-01,MED-020,573,bottle,55.0,2025-06-12,2027-04-25,299,288,28.881,19.84,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000039,DEMO-01,MED-021,795,tablet,1.0,2026-05-19,2028-12-23,907,1150,115.036,6.91,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000040,DEMO-01,MED-021,570,tablet,1.0,2026-05-28,2029-03-04,978,1150,115.036,4.95,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000041,DEMO-01,MED-021,864,tablet,1.0,2024-07-22,2026-09-19,81,1150,115.036,7.51,LOW_AND_NEAR_EXPIRY,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000042,DEMO-01,MED-022,2101,tablet,2.5,2025-11-30,2027-04-14,288,1060,106.06,19.81,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000043,DEMO-01,MED-022,1871,tablet,2.5,2026-05-11,2028-05-10,680,1060,106.06,17.64,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000044,DEMO-01,MED-022,3188,tablet,2.5,2024-12-02,2026-11-19,142,1060,106.06,30.06,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000045,DEMO-01,MED-023,1508,tablet,1.5,2025-04-01,2026-08-21,52,1605,160.548,9.39,LOW_AND_NEAR_EXPIRY,Provincial Medical Store,Ambient
2026-06-30,BATCH-000046,DEMO-01,MED-023,2698,tablet,1.5,2024-04-11,2026-08-13,44,1605,160.548,16.8,NEAR_EXPIRY,Kanti Central Store,Ambient
2026-06-30,BATCH-000047,DEMO-01,MED-024,483,vial,450.0,2025-03-18,2026-09-17,79,211,21.131,22.86,NEAR_EXPIRY,DoDA Logistics,Cold_Chain
2026-06-30,BATCH-000048,DEMO-01,MED-024,499,vial,450.0,2026-06-17,2028-03-14,623,211,21.131,23.61,OK,DoDA Logistics,Cold_Chain
2026-06-30,BATCH-000049,DEMO-01,MED-024,674,vial,450.0,2026-02-23,2027-12-12,530,211,21.131,31.9,OK,Nepal CMS,Cold_Chain
2026-06-30,BATCH-000050,DEMO-01,MED-025,2556,tablet,3.0,2026-06-20,2028-05-26,696,843,84.369,30.3,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000051,DEMO-01,MED-026,115,tablet,0.8,2026-06-21,2028-05-19,689,1081,108.119,1.06,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000052,DEMO-01,MED-026,133,tablet,0.8,2026-04-28,2027-10-15,472,1081,108.119,1.23,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000053,DEMO-01,MED-026,213,tablet,0.8,2025-03-10,2027-07-20,385,1081,108.119,1.97,LOW_STOCK,Nepal CMS,Ambient
2026-06-30,BATCH-000054,DEMO-01,MED-027,1583,capsule,2.0,2024-09-22,2026-09-27,89,1538,153.869,10.29,NEAR_EXPIRY,UNICEF Supply,Ambient
2026-06-30,BATCH-000055,DEMO-01,MED-027,1223,capsule,2.0,2026-06-02,2029-04-12,1017,1538,153.869,7.95,LOW_STOCK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000056,DEMO-01,MED-027,1090,capsule,2.0,2026-01-29,2028-05-03,673,1538,153.869,7.08,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000057,DEMO-01,MED-028,3274,tablet,6.0,2025-10-06,2028-05-22,692,705,70.548,46.41,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000058,DEMO-01,MED-029,2136,tablet,1.5,2026-06-17,2029-01-31,946,539,53.905,39.63,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000059,DEMO-01,MED-030,265,bottle_100ml,85.0,2026-03-22,2028-11-16,870,289,28.964,9.15,LOW_STOCK,Kanti Central Store,Ambient
2026-06-30,BATCH-000060,DEMO-01,MED-030,432,bottle_100ml,85.0,2026-05-28,2029-04-06,1011,289,28.964,14.91,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000061,DEMO-01,MED-031,2098,pair,25.0,2026-03-09,2029-06-08,1074,1784,178.44,11.76,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000062,DEMO-01,MED-031,668,pair,25.0,2025-09-01,2029-08-22,1149,1784,178.44,3.74,LOW_STOCK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000063,DEMO-01,MED-031,1399,pair,25.0,2024-02-16,2026-08-08,39,1784,178.44,7.84,LOW_AND_NEAR_EXPIRY,Provincial Medical Store,Ambient
2026-06-30,BATCH-000064,DEMO-01,MED-032,6646,piece,5.0,2025-01-05,2028-05-04,674,2447,244.738,27.16,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000065,DEMO-01,MED-032,4237,piece,5.0,2024-01-11,2027-10-21,478,2447,244.738,17.31,OK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000066,DEMO-01,MED-032,12392,piece,5.0,2026-06-17,2031-01-11,1656,2447,244.738,50.63,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000067,DEMO-01,MED-033,1238,piece,35.0,2025-02-09,2027-06-12,347,1143,114.381,10.82,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000068,DEMO-01,MED-033,2512,piece,35.0,2025-04-28,2029-07-30,1126,1143,114.381,21.96,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000069,DEMO-01,MED-034,199,vial,25.0,2025-10-05,2026-11-21,144,185,18.583,10.71,OK,DoDA Logistics,Cold_Chain
2026-06-30,BATCH-000070,DEMO-01,MED-034,394,vial,25.0,2026-05-18,2027-05-11,315,185,18.583,21.2,OK,BPKMCH Pharmacy Store,Cold_Chain
2026-06-30,BATCH-000071,DEMO-01,MED-035,721,vial,350.0,2025-11-30,2027-06-25,360,96,9.655,74.68,OK,UNICEF Supply,Cold_Chain
2026-06-30,BATCH-000072,DEMO-01,MED-036,117,tablet,0.5,2025-10-24,2026-08-14,45,1310,131.0,0.89,LOW_AND_NEAR_EXPIRY,UNICEF Supply,Ambient
2026-06-30,BATCH-000073,DEMO-01,MED-036,150,tablet,0.5,2025-06-22,2026-07-22,22,1310,131.0,1.15,LOW_AND_NEAR_EXPIRY,UNICEF Supply,Ambient
2026-06-30,BATCH-000074,DEMO-01,MED-036,152,tablet,0.5,2024-08-15,2026-07-13,13,1310,131.0,1.16,LOW_AND_NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000075,DEMO-01,MED-037,40,tablet,8.0,2025-10-06,2028-03-17,626,290,29.048,1.38,LOW_STOCK,DoDA Logistics,Ambient
2026-06-30,BATCH-000076,DEMO-01,MED-037,116,tablet,8.0,2024-09-04,2026-08-26,57,290,29.048,3.99,LOW_AND_NEAR_EXPIRY,Kanti Central Store,Ambient
2026-06-30,BATCH-000077,DEMO-01,MED-038,1040,ampoule,12.0,2025-05-12,2027-01-17,201,348,34.845,29.85,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000078,DEMO-01,MED-039,388,ampoule,10.0,2026-05-22,2029-06-01,1067,252,25.286,15.34,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000079,DEMO-01,MED-040,777,ampoule,28.0,2026-05-28,2028-11-22,876,210,21.095,36.83,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000080,DEMO-01,MED-041,123,vial,180.0,2025-09-06,2026-09-27,89,35,3.536,34.79,NEAR_EXPIRY,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000081,DEMO-01,MED-041,197,vial,180.0,2026-01-02,2026-12-17,170,35,3.536,55.72,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000082,DEMO-01,MED-042,88,vial,1200.0,2025-10-31,2027-03-25,268,20,2.012,43.74,OK,Private Distributor - Kathmandu,Cold_Chain
2026-06-30,BATCH-000083,DEMO-01,MED-043,104,vial,3500.0,2025-04-11,2027-02-06,221,13,1.357,76.63,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000084,DEMO-01,MED-044,18,vial,450.0,2026-06-01,2028-03-30,639,15,1.524,11.81,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000085,DEMO-01,MED-044,24,vial,450.0,2026-06-21,2028-06-16,717,15,1.524,15.75,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000086,DEMO-01,MED-045,31,tablet,15.0,2026-06-06,2028-03-21,630,77,7.738,4.01,LOW_STOCK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000087,DEMO-01,MED-046,25,prefilled,4500.0,2025-11-21,2027-02-16,231,9,0.976,25.61,OK,Private Distributor - Kathmandu,Cold_Chain
2026-06-30,BATCH-000088,DEMO-01,MED-047,1463,sachet,6.0,2025-04-15,2026-07-16,16,1036,103.667,14.11,NEAR_EXPIRY,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000089,DEMO-01,MED-047,1288,sachet,6.0,2023-12-19,2026-07-18,18,1036,103.667,12.42,NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000090,DEMO-01,MED-047,1405,sachet,6.0,2023-11-26,2026-07-11,11,1036,103.667,13.55,NEAR_EXPIRY,Kanti Central Store,Ambient
2026-06-30,BATCH-000091,DEMO-01,MED-048,64,bottle,65.0,2026-06-19,2028-06-06,707,336,33.679,1.9,LOW_STOCK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000092,DEMO-01,MED-048,113,bottle,65.0,2026-05-17,2028-05-24,694,336,33.679,3.36,LOW_STOCK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000093,DEMO-01,MED-049,483,capsule,2.0,2025-09-18,2026-12-08,161,414,41.464,11.65,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000094,DEMO-01,MED-049,304,capsule,2.0,2026-04-29,2027-06-20,355,414,41.464,7.33,LOW_STOCK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000095,DEMO-01,MED-049,719,capsule,2.0,2026-06-19,2027-05-15,319,414,41.464,17.34,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000096,DEMO-01,MED-050,382,vial,120.0,2025-07-23,2026-07-29,29,269,26.917,14.19,NEAR_EXPIRY,Private Distributor - Kathmandu,Cold_Chain
2026-06-30,BATCH-000097,DEMO-01,MED-051,800,vial,80.0,2024-12-03,2026-08-16,47,201,20.19,39.62,NEAR_EXPIRY,Nepal CMS,Cold_Chain
2026-06-30,BATCH-000098,DEMO-01,MED-052,926,kit,25.0,2026-05-02,2027-06-14,349,518,51.845,17.86,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000099,DEMO-01,MED-052,804,kit,25.0,2026-06-22,2028-03-23,632,518,51.845,15.51,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000100,DEMO-01,MED-053,1812,ampoule,35.0,2025-08-16,2026-12-26,179,380,38.024,47.65,OK,Kanti Central Store,Cold_Chain
2026-06-30,BATCH-000101,DEMO-01,MED-054,148,tablet,20.0,2025-08-13,2026-10-29,121,205,20.595,7.19,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000102,DEMO-01,MED-055,602,ampoule,18.0,2026-06-13,2028-11-30,884,122,12.214,49.29,OK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000103,DEMO-01,MED-056,180,ampoule,45.0,2026-04-09,2028-02-25,605,102,10.226,17.6,OK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000104,DEMO-01,MED-056,144,ampoule,45.0,2025-08-26,2028-06-08,709,102,10.226,14.08,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000105,DEMO-01,MED-056,173,ampoule,45.0,2025-01-18,2027-01-13,197,102,10.226,16.92,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000106,DEMO-01,MED-057,203,bottle,55.0,2025-11-22,2027-03-18,261,89,8.976,22.62,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000107,DEMO-01,MED-058,111,bottle,90.0,2025-06-09,2026-09-24,86,75,7.512,14.78,NEAR_EXPIRY,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000108,DEMO-01,MED-058,99,bottle,90.0,2026-03-20,2027-12-16,534,75,7.512,13.18,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000109,DEMO-01,MED-058,106,bottle,90.0,2025-02-24,2027-01-04,188,75,7.512,14.11,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000110,DEMO-01,MED-059,146,bottle,70.0,2026-05-24,2028-03-05,614,56,5.655,25.82,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000111,DEMO-01,MED-060,48,vial,2500.0,2026-05-19,2027-12-07,525,45,4.571,10.5,OK,Kanti Central Store,Cold_Chain
2026-06-30,BATCH-000112,DEMO-01,MED-060,105,vial,2500.0,2026-06-16,2028-04-26,666,45,4.571,22.97,OK,UNICEF Supply,Cold_Chain
2026-06-30,BATCH-000113,DEMO-01,MED-061,137,ampoule,25.0,2026-01-17,2027-11-19,507,133,13.333,10.28,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000114,DEMO-01,MED-061,139,ampoule,25.0,2025-05-28,2026-11-23,146,133,13.333,10.43,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000115,DEMO-01,MED-061,228,ampoule,25.0,2026-06-22,2028-04-26,666,133,13.333,17.1,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000116,DEMO-01,MED-062,293,ampoule,12.0,2025-02-13,2026-10-13,105,82,8.214,35.67,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000117,DEMO-01,MED-063,244,vial,850.0,2025-09-11,2026-07-09,9,61,6.131,39.8,NEAR_EXPIRY,Provincial Medical Store,Cold_Chain
2026-06-30,BATCH-000118,DEMO-01,MED-064,469,roll,80.0,2026-06-14,2031-01-31,1676,482,48.274,9.72,LOW_STOCK,DoDA Logistics,Ambient
2026-06-30,BATCH-000119,DEMO-01,MED-064,455,roll,80.0,2026-05-28,2030-08-25,1517,482,48.274,9.43,LOW_STOCK,Kanti Central Store,Ambient
2026-06-30,BATCH-000120,DEMO-01,MED-065,88,unit,0.0,2026-06-26,2026-07-25,25,111,11.131,7.91,LOW_AND_NEAR_EXPIRY,DoDA Logistics,Cold_Chain
2026-06-30,BATCH-000121,DEMO-01,MED-065,43,unit,0.0,2026-05-20,2026-07-29,29,111,11.131,3.86,LOW_AND_NEAR_EXPIRY,BPKMCH Pharmacy Store,Cold_Chain
2026-06-30,BATCH-000122,DEMO-01,MED-065,35,unit,0.0,2026-05-27,2026-07-31,31,111,11.131,3.14,LOW_AND_NEAR_EXPIRY,DoDA Logistics,Cold_Chain
2026-06-30,BATCH-000123,DEMO-01,MED-066,87,unit,0.0,2026-05-31,2026-07-28,28,75,7.571,11.49,NEAR_EXPIRY,Nepal CMS,Cold_Chain
2026-06-30,BATCH-000124,DEMO-01,MED-066,104,unit,0.0,2026-06-23,2026-07-20,20,75,7.571,13.74,NEAR_EXPIRY,Nepal CMS,Cold_Chain
2026-06-30,BATCH-000125,DEMO-01,MED-067,26,vial,40.0,2025-01-24,2028-01-01,550,275,27.5,0.95,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000126,DEMO-01,MED-067,15,vial,40.0,2025-02-28,2027-07-14,379,275,27.5,0.55,LOW_STOCK,Kanti Central Store,Ambient
2026-06-30,BATCH-000127,DEMO-01,MED-067,13,vial,40.0,2025-07-15,2027-05-30,334,275,27.5,0.47,LOW_STOCK,UNICEF Supply,Ambient
2026-06-30,BATCH-000128,DEMO-01,MED-068,150,vial,180.0,2026-06-29,2029-03-14,988,98,9.821,15.27,OK,UNICEF Supply,Ambient
2026-06-30,BATCH-000129,DEMO-01,MED-068,40,vial,180.0,2025-02-12,2027-07-08,373,98,9.821,4.07,LOW_STOCK,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000130,DEMO-01,MED-068,118,vial,180.0,2024-07-24,2026-10-28,120,98,9.821,12.01,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000131,DEMO-01,MED-069,402,ampoule,95.0,2023-10-06,2026-08-03,34,102,10.298,39.04,NEAR_EXPIRY,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000132,DEMO-01,MED-070,318,sachet,120.0,2025-03-09,2026-09-25,87,296,29.679,10.71,NEAR_EXPIRY,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000133,DEMO-01,MED-070,276,sachet,120.0,2026-06-01,2027-03-25,268,296,29.679,9.3,LOW_STOCK,Nepal CMS,Ambient
2026-06-30,BATCH-000134,DEMO-01,MED-070,270,sachet,120.0,2025-05-13,2026-07-24,24,296,29.679,9.1,LOW_AND_NEAR_EXPIRY,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000135,DEMO-01,MED-071,94,ampoule,150.0,2026-05-24,2027-03-23,266,85,8.56,10.98,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000136,DEMO-01,MED-071,235,ampoule,150.0,2025-12-20,2026-12-11,164,85,8.56,27.45,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000137,DEMO-01,MED-072,136,vial,650.0,2025-09-05,2026-07-23,23,182,18.238,7.46,LOW_AND_NEAR_EXPIRY,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000138,DEMO-01,MED-072,104,vial,650.0,2025-04-02,2026-08-23,54,182,18.238,5.7,LOW_AND_NEAR_EXPIRY,DoDA Logistics,Ambient
2026-06-30,BATCH-000139,DEMO-01,MED-072,202,vial,650.0,2024-11-30,2026-07-25,25,182,18.238,11.08,NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000140,DEMO-02,MED-001,5876,tablet,1.5,2025-10-01,2027-04-19,293,3542,354.262,16.59,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000141,DEMO-02,MED-001,11890,tablet,1.5,2026-05-20,2029-04-26,1031,3542,354.262,33.56,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000142,DEMO-02,MED-002,1248,bottle,45.0,2025-05-22,2026-07-22,22,814,81.488,15.32,NEAR_EXPIRY,Kanti Central Store,Ambient
2026-06-30,BATCH-000143,DEMO-02,MED-002,944,bottle,45.0,2025-03-13,2026-08-06,37,814,81.488,11.58,NEAR_EXPIRY,UNICEF Supply,Ambient
2026-06-30,BATCH-000144,DEMO-02,MED-002,945,bottle,45.0,2024-10-24,2026-07-19,19,814,81.488,11.6,NEAR_EXPIRY,Nepal CMS,Ambient
2026-06-30,BATCH-000145,DEMO-02,MED-003,753,tablet,2.5,2025-06-19,2027-02-03,218,1522,152.202,4.95,LOW_STOCK,Kanti Central Store,Ambient
2026-06-30,BATCH-000146,DEMO-02,MED-004,917,ampoule,25.0,2025-02-19,2027-01-04,188,552,55.238,16.6,OK,Kanti Central Store,Ambient
2026-06-30,BATCH-000147,DEMO-02,MED-005,5211,capsule,6.0,2025-06-21,2026-07-28,28,2222,222.226,23.45,NEAR_EXPIRY,DoDA Logistics,Ambient
2026-06-30,BATCH-000148,DEMO-02,MED-005,6063,capsule,6.0,2025-04-14,2026-10-17,109,2222,222.226,27.28,OK,DoDA Logistics,Ambient
2026-06-30,BATCH-000149,DEMO-02,MED-006,4081,tablet,35.0,2024-10-28,2026-07-19,19,1239,123.94,32.93,NEAR_EXPIRY,Kanti Central Store,Ambient
2026-06-30,BATCH-000150,DEMO-02,MED-007,1633,tablet,40.0,2024-09-21,2026-07-19,19,796,79.619,20.51,NEAR_EXPIRY,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000151,DEMO-02,MED-007,1504,tablet,40.0,2025-08-01,2026-11-01,124,796,79.619,18.89,OK,Private Distributor - Kathmandu,Ambient
2026-06-30,BATCH-000152,DEMO-02,MED-008,1178,tablet,8.0,2025-03-16,2027-12-24,542,1075,107.536,10.95,OK,Nepal CMS,Ambient
2026-06-30,BATCH-000153,DEMO-02,MED-008,1137,tablet,8.0,2026-05-15,2028-08-10,772,1075,107.536,10.57,OK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000154,DEMO-02,MED-008,1346,tablet,8.0,2024-04-24,2027-02-19,234,1075,107.536,12.52,OK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000155,DEMO-02,MED-009,74,vial,85.0,2025-11-26,2027-02-13,228,912,91.226,0.81,LOW_STOCK,Local Pharmacy Wholesaler,Ambient
2026-06-30,BATCH-000156,DEMO-02,MED-009,70,vial,85.0,2026-04-05,2027-02-08,223,912,91.226,0.77,LOW_STOCK,Provincial Medical Store,Ambient
2026-06-30,BATCH-000157,DEMO-02,MED-010,3514,tablet,2.0,2024-02-14,2026-08-10,41,1370,137.024,25.65,NEAR_EXPIRY,BPKMCH Pharmacy Store,Ambient
2026-06-30,BATCH-000158,DEMO-02,MED-011,6941,sachet,8.0,2024-01-26,2026-09-06,68,3124,312.417,22.22,NEAR_EXPIRY,DoDA Logistics,Ambient
